ID,text,label
IQOTJAT,m3alem bourjilia w illi ma yefehmouch yelzmou ya9ra 5 ans plus le bac,1
HY9M63D,Ya m3alllam,1
7SV55S2,Ma7lek! Zin ou fannena 7loua.,1
KDLJVZR,hhhhh ya bliiiiiiiida ya Hanen,0
0MAU5GY,Nikraha w ma5yebha pffff,0
EA1VCJ2,3sal denya :*,1
2SZ11JC,سي جلول يعطيك ألف صحة و ربي يبارك فيك وكأنك شرهة في شباب باش يزيد يقرأ أكثر,1
59OI2D8,Ya mama mali masta lasta :p :p,0
E1TVXKP,Bravo Neji jelloul,1
L5L4SAC,نسحو يفهم في كل شيء,1
EL0ELOF,Rak taaafeh wkan tnaber beeef,0
3DLDMT6,Weld asel et  metrobi,1
M6VWQUD,Dima classe fi kemla mahlek,1
HO92YPM,ma7léhom <3,1
IDLEBVY,Berrasmi khiit lotfi,0
51OEUFT,mella marek krahnekom,0
TFMCKSN,برافو توفيق بردت على برشة قلوب,1
U303ILD,أحلى صافي سعيد,1
H4FMJQD,احترم هذا الرجل من اليوم لغدوة,1
UN4UBJM,امين عجبني كوستيمك يااااسر مزيان 😍,0
MV67J3L,وليد التونسي راجل ولد راجل تونسي أب عن جد,1
JO96OTX,Ma7leeeeha,1
76LLYW7,لطفي العبدلي فنان كبير برشة برشة,1
KSG6YLY,"Mash'Allah 3liha , rabbi ysoun w yberik :*",1
3C282CX,تعجبني هاجر زعما نلقى وحد كيفها تعيش معايا في الجزائر,1
BOZNMUQ,ياسر محلاها  أناقة ثقافة و رجولة,1
GYWKU36,bravo naji jaloul,1
PG5JETM,tha3louba majet chy 3amla fiha 9afza,0
KU4A85Z,Moufida salbiya w masta lasta 😠😠😠,0
72VDV2P,ساقطات,0
5QVPAWU,العربي الماسط مرجتونا بيه,0
AB9JHV2,Mamstek ya semi ken fi belek suspense rahou maset barcha,0
A3TO02Y,yaser masta kan mchet th9fet  rou7a 5ire,0
EIBY9QX,اقمار فى رمضان...ربى يهديكم,0
KFU8Q1O,Se3a ena te3jebni etofla litsou9 moutoue'r,1
DTH0NIO,والله بنات بألف راجل,1
6JTQ4Q4,الفضل يرجع لأمهم الفاضلة اللي ربتهم تربية سليمة ة ما خلتهمش يهزو الغل لبوهم كيما بعض النساء اللي اول ما تطلق تكره اولادها في بوهم و اهله ....الله يحفظ البنات ما احنهم,1
4GGGZKN,Mé watahach etGou3iiiiiR hhhhhhhhhhhhh,0
2ENA1VA,Tefou,0
0YZB2WI,"oh mamastak mana7amlouch jemla, al fan 3ando nesso y weldi, mala cha3ar 9oul 9anfoud ,9amek 9ari",0
TEG3CL3,Ya 5asra walhi 5alit balstik ya chakib,0
T2ZHPYF,Na7aw aka lmasta maya jebo wa7ed amset mznha pfffffff,0
05FU63B,منحط لا تربيه لا ثقافه تو من قلة المسرحيين جايبينو هنكره و تو هذا تسميوه مسرحي من اصلو,0
GE4X6T2,sa7a wlid,1
19E7CV9,اووووه قداش معيوه و ماسط و خامج,0
1X49V0E,ملا شخصية صبري تحفون برشا,1
0TK4MQR,لعنت الله عليك احترمنا شويا,0
5U7ZFM9,em 3alem,1
HS9JWF2,ونعمة الاب والله,1
6YQV2S9,راجل باهي و تحفون و زيد ضامر ويفكىرنا بالضحك و الذمار و الاكثر يعرف يحكي شيخ تحيفا يا تحفون,1
L38T5SZ,نحن نعشق الحوار التونسي,1
9PRA246,إنصاف اليحياوي تذكرنى ببرنامج التذكرة الاخيرة،يا حسرة من الأحلى البرامج إلى عملتها الوطنية و الا تونس 7 في وقتها 😉,1
9TFX4AT,صوت جميل بارعة في التقليد تبارك الله...,1
5T08BIJ,محل لك يا وجيهة أما أنت راك فنانة هلامية بلاثتك موش في تونس علاش ما تعملش كيما سناء كويس عفوا سناء يوسف,1
E041YHN,Ya3jebni osloubou w 5adem 3la rou7ou Nchallah les rappeur twansa ykounou kifou,1
RT87AT1,نحترمو برشا الراجل هاذا ، ايمن من ايطاليا,1
VABET99,ما شاء الله عليها ممثلة و عليها لكلام,1
COFQHCU,Ensen rajel w behyy kamel ki haka,1
A2CLHP4,أمسط منشط شفتو في حياتي،,0
GY4J4CB,"Mra tounsya mo7tarma brcha tbrkalah 3leha,",1
HMMHID4,ما عجبتنيش الغنايه لا علاقة,0
LQFSXZ3,Yesser rzina w klemha ma39oul,1
UEJ3TTV,chnakerhu,0
6WVVHYY,m3alem wlh bravoooooooooo karim,1
MXI5ET0,masttt el hammmm,0
0EAD0DL,وجيهة الجندوبي تعتبر من الممثلات المتميزين حقيقتا انا شخصيا من ملاحظتي لاعمالها الدرامية.في عدة مسلسلات تونسية مثل ( منامة عروسية ) وعودة المنيار ) الخ ...تبدع في اتقان الدور  والشخصية حقيقتا انا شخصيا   احترم هاته الفنانة المبدعة وتحية وتقدير لذاتها وشكرا,1
O076BMH,N7bhhhhaaaaa,1
DUIEJGK,Fsedet kif zokret el 3id ya Samir,0
UJV22U7,Raw3a.   Mahlahoum,1
